"Date","Time","Cloud Condition","Rain Condition","Brightness Condition","Cloud Value","Cloud Sensor Temperature","Rain Value","Brightness Value","Ambient Temperature","Rain Heating Percentage","Rain Sensor Temperature","Heating Status","Switch Status","Read Cycle","Timeout Errors","Safe Status","Wind Condition","Wind Value",
"2017-11-02","16:12:22","Clear","Dry","Very Light","-37.7","19.3","2400","0","19.3","11%","22.8","Heating UP","Closed","2.712","0","Unsafe","Calm","0.0",
"2017-11-02","16:12:37","Clear","Dry","Very Light","-34.8","19.3","2432","0","19.3","12%","23.1","","Closed","2.632","0","Unsafe","Calm","0.0",
"2017-11-02","16:12:52","Clear","Dry","Very Light","-34.1","19.4","2432","0","19.4","12%","23.6","","Closed","2.628","0","Unsafe","Calm","0.0",
"2017-11-02","16:13:07","Clear","Dry","Very Light","-36.2","19.4","2432","0","19.4","12%","23.8","Heating DOWN","Closed","2.626","0","Unsafe","Calm","0.0",
"2017-11-02","16:13:22","Clear","Dry","Very Light","-35.0","19.5","2400","0","19.5","11%","23.9","","Closed","2.641","0","Unsafe","Calm","0.0",
"2017-11-02","16:13:37","Clear","Dry","Very Light","-36.4","19.4","2397","0","19.4","10%","23.6","","Closed","2.627","0","Unsafe","Calm","0.0",
"2017-11-02","16:13:52","Clear","Dry","Very Light","-36.5","19.3","2397","0","19.3","10%","23.3","","Closed","2.700","0","Unsafe","Calm","0.0",
"2017-11-02","16:14:07","Clear","Dry","Very Light","-33.3","19.4","2397","0","19.4","10%","23.6","","Closed","2.631","0","Unsafe","Calm","0.0",
"2017-11-02","16:14:22","Clear","Dry","Very Light","-34.3","19.5","2397","0","19.5","10%","24.0","","Closed","2.626","0","Unsafe","Calm","0.0",
"2017-11-02","16:14:37","Clear","Dry","Very Light","-34.3","19.6","2396","0","19.6","10%","24.2","","Closed","2.634","0","Unsafe","Calm","0.0",
"2017-11-02","16:14:52","Clear","Dry","Very Light","-35.3","19.6","2396","0","19.6","10%","24.3","","Closed","2.632","0","Unsafe","Calm","0.0",
"2017-11-02","16:15:07","Clear","Dry","Very Light","-32.8","19.8","2395","0","19.8","10%","24.7","","Closed","2.628","0","Unsafe","Calm","0.0",
"2017-11-02","16:15:22","Clear","Dry","Very Light","-33.4","19.9","2396","0","19.9","10%","24.9","","Closed","2.692","0","Unsafe","Calm","0.0",
"2017-11-02","16:15:37","Clear","Dry","Very Light","-34.5","20.1","2396","0","20.1","10%","25.3","","Closed","2.628","0","Unsafe","Calm","0.0",
"2017-11-02","16:15:52","Clear","Dry","Very Light","-37.5","20.0","2395","0","20.0","10%","24.9","","Closed","2.626","0","Unsafe","Calm","0.0",
"2017-11-02","16:16:07","Clear","Dry","Very Light","-36.0","20.0","2395","0","20.0","10%","24.6","","Closed","2.624","0","Unsafe","Calm","0.0",
"2017-11-02","16:16:22","Clear","Dry","Very Light","-36.7","19.9","2396","0","19.9","10%","24.3","","Closed","2.642","0","Unsafe","Calm","0.0",
"2017-11-02","16:16:37","Clear","Dry","Very Light","-36.7","19.8","2397","0","19.8","10%","23.9","","Closed","2.626","0","Unsafe","Calm","0.0",
"2017-11-02","16:16:52","Clear","Dry","Very Light","-39.4","19.6","2397","0","19.6","10%","23.4","","Closed","2.693","0","Unsafe","Calm","0.0",
"2017-11-02","16:17:07","Clear","Dry","Very Light","-36.4","19.4","2397","0","19.4","10%","23.1","Heating UP","Closed","2.625","0","Unsafe","Calm","0.0",
"2017-11-02","16:17:22","Clear","Dry","Very Light","-35.2","19.3","2400","0","19.3","11%","23.1","","Closed","2.625","0","Unsafe","Calm","0.0",
"2017-11-02","16:17:37","Clear","Dry","Very Light","-37.6","19.3","2400","0","19.3","11%","23.2","","Closed","2.624","0","Unsafe","Calm","0.0",
"2017-11-02","16:17:52","Clear","Dry","Very Light","-35.8","19.3","2400","0","19.3","11%","23.2","","Closed","2.630","0","Unsafe","Calm","0.0",
"2017-11-02","16:18:07","Clear","Dry","Very Light","-37.5","19.1","2400","0","19.1","11%","23.1","","Closed","2.633","0","Unsafe","Calm","0.0",
"2017-11-02","16:18:22","Clear","Dry","Very Light","-35.2","19.1","2400","0","19.1","11%","23.1","","Closed","2.805","0","Unsafe","Calm","0.0",
"2017-11-02","16:18:37","Clear","Dry","Very Light","-35.4","19.1","2400","0","19.1","11%","23.1","","Closed","2.623","0","Unsafe","Calm","0.0",
"2017-11-02","16:18:52","Clear","Dry","Very Light","-34.8","19.1","2400","0","19.1","11%","23.2","","Closed","2.623","0","Unsafe","Calm","0.0",
"2017-11-02","16:19:07","Clear","Dry","Very Light","-36.1","19.1","2400","0","19.1","11%","23.2","","Closed","2.625","0","Unsafe","Calm","0.0",
"2017-11-02","16:19:22","Clear","Dry","Very Light","-36.2","19.0","2400","0","19.0","11%","23.1","","Closed","2.632","0","Unsafe","Calm","0.0",
"2017-11-02","16:19:37","Clear","Dry","Very Light","-33.7","19.1","2400","0","19.1","11%","23.4","","Closed","2.638","0","Unsafe","Calm","0.0",
"2017-11-02","16:19:52","Clear","Dry","Very Light","-34.4","19.2","2400","0","19.2","11%","23.7","","Closed","2.730","0","Unsafe","Calm","0.0",
"2017-11-02","16:20:07","Clear","Dry","Very Light","-34.5","19.2","2397","0","19.2","10%","23.7","","Closed","2.647","0","Unsafe","Calm","0.0",
"2017-11-02","16:20:22","Clear","Dry","Very Light","-34.1","19.2","2397","0","19.2","10%","23.7","","Closed","2.626","0","Unsafe","Calm","0.0",
"2017-11-02","16:20:37","Clear","Dry","Very Light","-35.2","19.4","2397","0","19.4","10%","24.0","","Closed","2.638","0","Unsafe","Calm","0.0",
