Archivo,Dia,Hora,Tiempo de exp,Valor medio,Desviacion estandar, Valor luz
skyb_2x2_s1_1s_20171110200726_1.fits,20171110,200726,1,65535.0,0.0,58
skyb_2x2_s1_1s_20171110201031_1.fits,20171110,201031,1,65535.0,0.0,91
skyb_2x2_s1_1s_20171110201335_1.fits,20171110,201335,1,65535.0,0.0,156
skyb_2x2_s1_1s_20171110201639_1.fits,20171110,201639,1,65534.9519749,5.84828638674,233
skyb_2x2_s1_1s_20171110201944_1.fits,20171110,201944,1,63944.2335131,3952.41076994,356
skyb_2x2_s1_1s_20171110202248_1.fits,20171110,202248,1,43784.3038702,6134.48579718,567
skyb_2x2_s1_1s_20171110202553_1.fits,20171110,202553,1,24426.1308396,3368.15883763,949
skyb_2x2_s1_1s_20171110202857_1.fits,20171110,202857,1,13421.0957565,1773.96109332,1680
skyb_2x2_s1_1s_20171110203201_1.fits,20171110,203201,1,7482.79788113,911.268287796,3127
skyb_2x2_s1_1s_20171110203506_1.fits,20171110,203506,1,4348.52439475,453.736578946,5673
skyb_2x2_s1_1s_20171110203810_1.fits,20171110,203810,1,2748.65937972,218.724605148,9492
skyb_2x2_s1_1s_20171110204114_1.fits,20171110,204114,1,1967.08078098,104.983451954,14266
skyb_2x2_s1_1s_20171110204419_1.fits,20171110,204419,1,1604.0679338,54.62437694,19040
skyb_2x2_s1_1s_20171110204723_1.fits,20171110,204723,1,1441.76577783,37.2704319167,28588
skyb_2x2_s1_1s_20171110205027_1.fits,20171110,205027,1,1365.459656,29.1220260264,28588
skyb_2x2_s1_2s_20171110200736_1.fits,20171110,200736,2,65535.0,0.0,68
skyb_2x2_s1_2s_20171110201041_1.fits,20171110,201041,2,65535.0,0.0,104
skyb_2x2_s1_2s_20171110201345_1.fits,20171110,201345,2,65535.0,0.0,156
skyb_2x2_s1_2s_20171110201649_1.fits,20171110,201649,2,65535.0,0.0,233
skyb_2x2_s1_2s_20171110201954_1.fits,20171110,201954,2,65535.0,0.0,356
skyb_2x2_s1_2s_20171110202258_1.fits,20171110,202258,2,64727.4574904,2680.93741541,567
skyb_2x2_s1_2s_20171110202603_1.fits,20171110,202603,2,44863.8893733,6192.41593712,949
skyb_2x2_s1_2s_20171110202907_1.fits,20171110,202907,2,24195.1790261,3283.61377136,1680
skyb_2x2_s1_2s_20171110203211_1.fits,20171110,203211,2,12977.7274435,1687.38620147,3127
skyb_2x2_s1_2s_20171110203516_1.fits,20171110,203516,2,7080.82865572,842.44240868,5673
skyb_2x2_s1_2s_20171110203820_1.fits,20171110,203820,2,4044.84519601,405.085595056,9492
skyb_2x2_s1_2s_20171110204124_1.fits,20171110,204124,2,2567.59995937,190.097970543,14266
skyb_2x2_s1_2s_20171110204429_1.fits,20171110,204429,2,1884.53783798,94.0993284005,19040
skyb_2x2_s1_2s_20171110204733_1.fits,20171110,204733,2,1582.79664087,54.571031043,28588
skyb_2x2_s1_2s_20171110205037_1.fits,20171110,205037,2,1441.32799792,40.9067285238,28588
skyb_2x2_s1_4s_20171110200747_1.fits,20171110,200747,4,65535.0,0.0,68
skyb_2x2_s1_4s_20171110201052_1.fits,20171110,201052,4,65535.0,0.0,104
skyb_2x2_s1_4s_20171110201356_1.fits,20171110,201356,4,65535.0,0.0,156
skyb_2x2_s1_4s_20171110201700_1.fits,20171110,201700,4,65535.0,0.0,233
skyb_2x2_s1_4s_20171110202005_1.fits,20171110,202005,4,65535.0,0.0,356
skyb_2x2_s1_4s_20171110202309_1.fits,20171110,202309,4,65535.0,0.0,567
skyb_2x2_s1_4s_20171110202614_1.fits,20171110,202614,4,64912.4234505,2302.886546,949
skyb_2x2_s1_4s_20171110202918_1.fits,20171110,202918,4,44530.1721275,6105.16884139,1680
skyb_2x2_s1_4s_20171110203222_1.fits,20171110,203222,4,23435.5425258,3160.60363493,3127
skyb_2x2_s1_4s_20171110203527_1.fits,20171110,203527,4,12255.5522645,1579.72263071,5673
skyb_2x2_s1_4s_20171110203831_1.fits,20171110,203831,4,6517.51517296,758.82002999,9492
skyb_2x2_s1_4s_20171110204135_1.fits,20171110,204135,4,3729.71965861,358.676585773,14266
skyb_2x2_s1_4s_20171110204440_1.fits,20171110,204440,4,2441.78006315,176.038273308,19040
skyb_2x2_s1_4s_20171110204744_1.fits,20171110,204744,4,1871.0497241,98.154562259,28588
skyb_2x2_s1_4s_20171110205048_1.fits,20171110,205048,4,1601.51230478,67.9198052367,28588
skyb_2x2_s1_6s_20171110200800_1.fits,20171110,200800,6,65535.0,0.0,68
skyb_2x2_s1_6s_20171110201105_1.fits,20171110,201105,6,65535.0,0.0,104
skyb_2x2_s1_6s_20171110201409_1.fits,20171110,201409,6,65535.0,0.0,156
skyb_2x2_s1_6s_20171110201714_1.fits,20171110,201714,6,65535.0,0.0,233
skyb_2x2_s1_6s_20171110202018_1.fits,20171110,202018,6,65535.0,0.0,356
skyb_2x2_s1_6s_20171110202322_1.fits,20171110,202322,6,65535.0,0.0,567
skyb_2x2_s1_6s_20171110202627_1.fits,20171110,202627,6,65534.5180204,26.7187124507,949
skyb_2x2_s1_6s_20171110202931_1.fits,20171110,202931,6,60608.0384343,7031.05875048,1680
skyb_2x2_s1_6s_20171110203235_1.fits,20171110,203235,6,32628.7192266,4449.80367665,3763
skyb_2x2_s1_6s_20171110203540_1.fits,20171110,203540,6,16806.8101146,2226.04821682,6309
skyb_2x2_s1_6s_20171110203844_1.fits,20171110,203844,6,8684.67577195,1069.27283465,11402
skyb_2x2_s1_6s_20171110204148_1.fits,20171110,204148,6,4750.91123748,506.365850407,14266
skyb_2x2_s1_6s_20171110204453_1.fits,20171110,204453,6,2937.1416564,248.728604236,19040
skyb_2x2_s1_6s_20171110204757_1.fits,20171110,204757,6,2131.90314913,137.565499364,28588
skyb_2x2_s1_6s_20171110205101_1.fits,20171110,205101,6,1748.82307577,92.6532366787,28588
