Archivo,Dia,Hora,Tiempo de exp,Valor medio,Desviacion estandar, Valor luz
skyi_2x2_s1_1s_20171111200958_1.fits,20171111,200958,1,65535.0,0.0,84
skyi_2x2_s1_1s_20171111201302_1.fits,20171111,201302,1,65535.0,0.0,125
skyi_2x2_s1_1s_20171111201607_1.fits,20171111,201607,1,65535.0,0.0,184
skyi_2x2_s1_1s_20171111201911_1.fits,20171111,201911,1,65505.7015257,361.004861473,273
skyi_2x2_s1_1s_20171111202215_1.fits,20171111,202215,1,63559.8605392,4195.70767139,421
skyi_2x2_s1_1s_20171111202520_1.fits,20171111,202520,1,47206.2032495,5807.23718298,669
skyi_2x2_s1_1s_20171111202824_1.fits,20171111,202824,1,27686.7972476,3378.50044525,1138
skyi_2x2_s1_1s_20171111203128_1.fits,20171111,203128,1,14355.9098828,1689.40432488,1990
skyi_2x2_s1_1s_20171111203433_1.fits,20171111,203433,1,6930.28526497,735.169075388,3763
skyi_2x2_s1_1s_20171111203737_1.fits,20171111,203737,1,3499.54303026,288.384574452,7105
skyi_2x2_s1_1s_20171111204041_1.fits,20171111,204041,1,2096.75328445,109.707238559,14266
skyi_2x2_s1_1s_20171111204346_1.fits,20171111,204346,1,1658.18362427,55.2670771953,19040
skyi_2x2_s1_1s_20171111204650_1.fits,20171111,204650,1,1487.2237761,37.6669925613,28588
skyi_2x2_s1_2s_20171111201008_1.fits,20171111,201008,2,65535.0,0.0,84
skyi_2x2_s1_2s_20171111201312_1.fits,20171111,201312,2,65535.0,0.0,125
skyi_2x2_s1_2s_20171111201617_1.fits,20171111,201617,2,65535.0,0.0,184
skyi_2x2_s1_2s_20171111201921_1.fits,20171111,201921,2,65535.0,0.0,273
skyi_2x2_s1_2s_20171111202225_1.fits,20171111,202225,2,65535.0,0.0,421
skyi_2x2_s1_2s_20171111202530_1.fits,20171111,202530,2,65378.3599269,971.608153442,669
skyi_2x2_s1_2s_20171111202834_1.fits,20171111,202834,2,51016.2406979,6184.15772196,1138
skyi_2x2_s1_2s_20171111203138_1.fits,20171111,203138,2,25767.7349586,3090.29060785,2548
skyi_2x2_s1_2s_20171111203443_1.fits,20171111,203443,2,11822.5234978,1341.72741852,4718
skyi_2x2_s1_2s_20171111203747_1.fits,20171111,203747,2,5386.13575721,521.522285304,8128
skyi_2x2_s1_2s_20171111204051_1.fits,20171111,204051,2,2795.03753161,196.588132439,14266
skyi_2x2_s1_2s_20171111204356_1.fits,20171111,204356,2,1991.16265917,95.507257654,19040
skyi_2x2_s1_2s_20171111204700_1.fits,20171111,204700,2,1668.60067368,59.7466353461,28588
skyi_2x2_s1_4s_20171111201019_1.fits,20171111,201019,4,65535.0,0.0,84
skyi_2x2_s1_4s_20171111201323_1.fits,20171111,201323,4,65535.0,0.0,125
skyi_2x2_s1_4s_20171111201628_1.fits,20171111,201628,4,65535.0,0.0,184
skyi_2x2_s1_4s_20171111201932_1.fits,20171111,201932,4,65535.0,0.0,273
skyi_2x2_s1_4s_20171111202236_1.fits,20171111,202236,4,65535.0,0.0,421
skyi_2x2_s1_4s_20171111202541_1.fits,20171111,202541,4,65535.0,0.0,796
skyi_2x2_s1_4s_20171111202845_1.fits,20171111,202845,4,65494.4775288,431.418941799,1376
skyi_2x2_s1_4s_20171111203150_1.fits,20171111,203150,4,47017.5237751,5674.20356038,2548
skyi_2x2_s1_4s_20171111203454_1.fits,20171111,203454,4,20969.2736037,2475.80790879,4718
skyi_2x2_s1_4s_20171111203758_1.fits,20171111,203758,4,8910.01443672,958.967952746,8128
skyi_2x2_s1_4s_20171111204103_1.fits,20171111,204103,4,4134.11718845,366.47825101,14266
skyi_2x2_s1_4s_20171111204407_1.fits,20171111,204407,4,2652.72524047,179.899312874,19040
skyi_2x2_s1_4s_20171111204711_1.fits,20171111,204711,4,2036.01899123,108.095475652,28588
skyi_2x2_s1_6s_20171111201032_1.fits,20171111,201032,6,65535.0,0.0,84
skyi_2x2_s1_6s_20171111201336_1.fits,20171111,201336,6,65535.0,0.0,125
skyi_2x2_s1_6s_20171111201641_1.fits,20171111,201641,6,65535.0,0.0,209
skyi_2x2_s1_6s_20171111201945_1.fits,20171111,201945,6,65535.0,0.0,314
skyi_2x2_s1_6s_20171111202249_1.fits,20171111,202249,6,65535.0,0.0,484
skyi_2x2_s1_6s_20171111202554_1.fits,20171111,202554,6,65535.0,0.0,796
skyi_2x2_s1_6s_20171111202858_1.fits,20171111,202858,6,65535.0,0.0,1376
skyi_2x2_s1_6s_20171111203203_1.fits,20171111,203203,6,62241.7622614,5508.45440624,2548
skyi_2x2_s1_6s_20171111203507_1.fits,20171111,203507,6,28761.0937781,3427.57769102,4718
skyi_2x2_s1_6s_20171111203811_1.fits,20171111,203811,6,11836.3015497,1320.95405444,8128
skyi_2x2_s1_6s_20171111204116_1.fits,20171111,204116,6,5293.34205127,513.558651265,14266
skyi_2x2_s1_6s_20171111204420_1.fits,20171111,204420,6,3254.13951492,256.85326481,19040
skyi_2x2_s1_6s_20171111204724_1.fits,20171111,204724,6,2369.49679232,152.65086049,28588
