Archivo,Dia,Hora,Tiempo de exp,Valor medio,Desviacion estandar, Valor luz
skyr_2x2_s1_1s_20171111200858_1.fits,20171111,200858,1,65535.0,0.0,73
skyr_2x2_s1_1s_20171111201202_1.fits,20171111,201202,1,65535.0,0.0,110
skyr_2x2_s1_1s_20171111201507_1.fits,20171111,201507,1,65535.0,0.0,161
skyr_2x2_s1_1s_20171111201811_1.fits,20171111,201811,1,65535.0,0.0,239
skyr_2x2_s1_1s_20171111202115_1.fits,20171111,202115,1,65535.0,0.0,362
skyr_2x2_s1_1s_20171111202420_1.fits,20171111,202420,1,64665.1118569,2798.91779951,567
skyr_2x2_s1_1s_20171111202724_1.fits,20171111,202724,1,44434.1845284,6148.00632069,949
skyr_2x2_s1_1s_20171111203028_1.fits,20171111,203028,1,22340.2873375,3028.92389072,1680
skyr_2x2_s1_1s_20171111203333_1.fits,20171111,203333,1,10772.7396331,1371.86652763,3127
skyr_2x2_s1_1s_20171111203637_1.fits,20171111,203637,1,5436.45036125,601.667101871,5673
skyr_2x2_s1_1s_20171111203941_1.fits,20171111,203941,1,3035.45961285,255.75241212,11402
skyr_2x2_s1_1s_20171111204246_1.fits,20171111,204246,1,2053.1862812,118.364706429,19040
skyr_2x2_s1_1s_20171111204550_1.fits,20171111,204550,1,1662.42195249,60.7111739249,28588
skyr_2x2_s1_2s_20171111200908_1.fits,20171111,200908,2,65535.0,0.0,73
skyr_2x2_s1_2s_20171111201212_1.fits,20171111,201212,2,65535.0,0.0,110
skyr_2x2_s1_2s_20171111201517_1.fits,20171111,201517,2,65535.0,0.0,161
skyr_2x2_s1_2s_20171111201821_1.fits,20171111,201821,2,65535.0,0.0,239
skyr_2x2_s1_2s_20171111202125_1.fits,20171111,202125,2,65535.0,0.0,362
skyr_2x2_s1_2s_20171111202430_1.fits,20171111,202430,2,65535.0,0.0,567
skyr_2x2_s1_2s_20171111202734_1.fits,20171111,202734,2,64843.0269656,2446.94970934,949
skyr_2x2_s1_2s_20171111203038_1.fits,20171111,203038,2,40678.697917,5538.70410334,1990
skyr_2x2_s1_2s_20171111203343_1.fits,20171111,203343,2,19035.7943964,2517.20702012,3763
skyr_2x2_s1_2s_20171111203647_1.fits,20171111,203647,2,9065.31863189,1106.29031078,7105
skyr_2x2_s1_2s_20171111203951_1.fits,20171111,203951,2,4563.96346474,469.802281133,11402
skyr_2x2_s1_2s_20171111204256_1.fits,20171111,204256,2,2737.27375484,213.9981277,19040
skyr_2x2_s1_2s_20171111204600_1.fits,20171111,204600,2,2004.56355381,108.115595267,28588
skyr_2x2_s1_4s_20171111200919_1.fits,20171111,200919,4,65535.0,0.0,73
skyr_2x2_s1_4s_20171111201223_1.fits,20171111,201223,4,65535.0,0.0,110
skyr_2x2_s1_4s_20171111201528_1.fits,20171111,201528,4,65535.0,0.0,161
skyr_2x2_s1_4s_20171111201832_1.fits,20171111,201832,4,65535.0,0.0,239
skyr_2x2_s1_4s_20171111202136_1.fits,20171111,202136,4,65535.0,0.0,362
skyr_2x2_s1_4s_20171111202441_1.fits,20171111,202441,4,65535.0,0.0,669
skyr_2x2_s1_4s_20171111202745_1.fits,20171111,202745,4,65535.0,0.0,1138
skyr_2x2_s1_4s_20171111203049_1.fits,20171111,203049,4,63996.6129608,3823.7720979,1990
skyr_2x2_s1_4s_20171111203354_1.fits,20171111,203354,4,34538.0760374,4654.06203563,3763
skyr_2x2_s1_4s_20171111203658_1.fits,20171111,203658,4,15882.3962851,2053.49586933,7105
skyr_2x2_s1_4s_20171111204002_1.fits,20171111,204002,4,7471.20953226,878.052302613,11402
skyr_2x2_s1_4s_20171111204307_1.fits,20171111,204307,4,4057.45833945,399.990710775,19040
skyr_2x2_s1_4s_20171111204611_1.fits,20171111,204611,4,2676.60362196,204.380653422,28588
skyr_2x2_s1_6s_20171111200932_1.fits,20171111,200932,6,65535.0,0.0,73
skyr_2x2_s1_6s_20171111201236_1.fits,20171111,201236,6,65535.0,0.0,110
skyr_2x2_s1_6s_20171111201541_1.fits,20171111,201541,6,65535.0,0.0,184
skyr_2x2_s1_6s_20171111201845_1.fits,20171111,201845,6,65535.0,0.0,273
skyr_2x2_s1_6s_20171111202149_1.fits,20171111,202149,6,65535.0,0.0,421
skyr_2x2_s1_6s_20171111202454_1.fits,20171111,202454,6,65535.0,0.0,669
skyr_2x2_s1_6s_20171111202758_1.fits,20171111,202758,6,65535.0,0.0,1138
skyr_2x2_s1_6s_20171111203102_1.fits,20171111,203102,6,65512.0056865,321.639911083,1990
skyr_2x2_s1_6s_20171111203407_1.fits,20171111,203407,6,47798.1174688,6450.07424715,3763
skyr_2x2_s1_6s_20171111203711_1.fits,20171111,203711,6,21745.3286803,2865.51476753,7105
skyr_2x2_s1_6s_20171111204015_1.fits,20171111,204015,6,9978.02402902,1230.17931796,11402
skyr_2x2_s1_6s_20171111204320_1.fits,20171111,204320,6,5221.51265883,562.730048335,19040
skyr_2x2_s1_6s_20171111204624_1.fits,20171111,204624,6,3282.21889877,291.196851794,28588
