Archivo,Dia,Hora,Tiempo de exp,Valor medio,Desviacion estandar, Valor luz
skyu_2x2_s1_1s_20171110200626_1.fits,20171110,200626,1,58932.4241686,5991.50086774,49
skyu_2x2_s1_1s_20171110200931_1.fits,20171110,200931,1,43833.8865035,4742.60493364,79
skyu_2x2_s1_1s_20171110201235_1.fits,20171110,201235,1,31056.3497958,3374.75222935,136
skyu_2x2_s1_1s_20171110201539_1.fits,20171110,201539,1,20981.5438392,2219.26399368,204
skyu_2x2_s1_1s_20171110201844_1.fits,20171110,201844,1,13610.052449,1410.86850514,309
skyu_2x2_s1_1s_20171110202148_1.fits,20171110,202148,1,8586.5101099,829.152809598,484
skyu_2x2_s1_1s_20171110202452_1.fits,20171110,202452,1,5425.64146376,476.90589976,799
skyu_2x2_s1_1s_20171110202757_1.fits,20171110,202757,1,3545.31966996,260.495422777,1413
skyu_2x2_s1_1s_20171110203101_1.fits,20171110,203101,1,2489.11402535,142.07751445,2548
skyu_2x2_s1_1s_20171110203405_1.fits,20171110,203405,1,1907.02365947,79.0782948743,4718
skyu_2x2_s1_1s_20171110203710_1.fits,20171110,203710,1,1595.2459805,47.1019547389,8128
skyu_2x2_s1_1s_20171110204014_1.fits,20171110,204014,1,1435.99929857,33.924971001,11402
skyu_2x2_s1_1s_20171110204318_1.fits,20171110,204318,1,1356.69598007,29.0425742984,19040
skyu_2x2_s1_1s_20171110204623_1.fits,20171110,204623,1,1318.27377653,41.6763231483,28588
skyu_2x2_s1_1s_20171110204927_1.fits,20171110,204927,1,1298.4957397,26.8653824736,28588
skyu_2x2_s1_2s_20171110200636_1.fits,20171110,200636,2,65535.0,0.0,58
skyu_2x2_s1_2s_20171110200941_1.fits,20171110,200941,2,65349.9155216,1001.32198731,91
skyu_2x2_s1_2s_20171110201245_1.fits,20171110,201245,2,57694.7539675,6024.61354951,136
skyu_2x2_s1_2s_20171110201549_1.fits,20171110,201549,2,38703.6183505,4112.74378713,204
skyu_2x2_s1_2s_20171110201854_1.fits,20171110,201854,2,24724.9286914,2622.71026995,309
skyu_2x2_s1_2s_20171110202158_1.fits,20171110,202158,2,15125.6436472,1535.53961751,484
skyu_2x2_s1_2s_20171110202502_1.fits,20171110,202502,2,9120.15580726,879.876119609,799
skyu_2x2_s1_2s_20171110202807_1.fits,20171110,202807,2,5540.77262998,475.929586998,1413
skyu_2x2_s1_2s_20171110203111_1.fits,20171110,203111,2,3527.43734217,252.69832058,2548
skyu_2x2_s1_2s_20171110203415_1.fits,20171110,203415,2,2423.38914108,133.00332075,4718
skyu_2x2_s1_2s_20171110203720_1.fits,20171110,203720,2,1835.00676227,70.2859856204,8128
skyu_2x2_s1_2s_20171110204024_1.fits,20171110,204024,2,1542.528404,44.8655303912,11402
skyu_2x2_s1_2s_20171110204328_1.fits,20171110,204328,2,1401.60336637,36.9385848863,19040
skyu_2x2_s1_2s_20171110204633_1.fits,20171110,204633,2,1338.28670764,34.7287786367,28588
skyu_2x2_s1_2s_20171110204937_1.fits,20171110,204937,2,1307.51723003,34.6529983867,28588
skyu_2x2_s1_4s_20171110200647_1.fits,20171110,200647,4,65535.0,0.0,58
skyu_2x2_s1_4s_20171110200952_1.fits,20171110,200952,4,65535.0,0.0,91
skyu_2x2_s1_4s_20171110201256_1.fits,20171110,201256,4,65535.0,0.0,136
skyu_2x2_s1_4s_20171110201600_1.fits,20171110,201600,4,64469.9264958,2745.0032145,204
skyu_2x2_s1_4s_20171110201905_1.fits,20171110,201905,4,45858.7010863,4902.66091368,309
skyu_2x2_s1_4s_20171110202209_1.fits,20171110,202209,4,27627.9659672,2884.1693343,484
skyu_2x2_s1_4s_20171110202513_1.fits,20171110,202513,4,16196.7659471,1656.46826702,799
skyu_2x2_s1_4s_20171110202818_1.fits,20171110,202818,4,9394.31588936,898.116969565,1413
skyu_2x2_s1_4s_20171110203122_1.fits,20171110,203122,4,5552.96277261,476.85496055,2548
skyu_2x2_s1_4s_20171110203427_1.fits,20171110,203427,4,3445.63886619,248.956987403,4718
skyu_2x2_s1_4s_20171110203731_1.fits,20171110,203731,4,2327.68380928,127.058661608,8128
skyu_2x2_s1_4s_20171110204035_1.fits,20171110,204035,4,1774.92615438,74.7394853021,14266
skyu_2x2_s1_4s_20171110204339_1.fits,20171110,204339,4,1511.08698559,56.6198259896,19040
skyu_2x2_s1_4s_20171110204644_1.fits,20171110,204644,4,1394.26267982,78.2950468429,28588
skyu_2x2_s1_4s_20171110204948_1.fits,20171110,204948,4,1339.13272905,50.8909256327,28588
skyu_2x2_s1_6s_20171110200700_1.fits,20171110,200700,6,65535.0,0.0,58
skyu_2x2_s1_6s_20171110201005_1.fits,20171110,201005,6,65535.0,0.0,91
skyu_2x2_s1_6s_20171110201309_1.fits,20171110,201309,6,65535.0,0.0,136
skyu_2x2_s1_6s_20171110201613_1.fits,20171110,201613,6,65535.0,0.0,204
skyu_2x2_s1_6s_20171110201918_1.fits,20171110,201918,6,62403.4935255,4735.89499802,309
skyu_2x2_s1_6s_20171110202222_1.fits,20171110,202222,6,38849.5855088,4082.38484373,484
skyu_2x2_s1_6s_20171110202526_1.fits,20171110,202526,6,22543.6937919,2348.65326391,799
skyu_2x2_s1_6s_20171110202831_1.fits,20171110,202831,6,12835.4359825,1273.571227,1413
