Archivo,Dia,Hora,Tiempo de exp,Valor medio,Desviacion estandar, Valor luz
skyv_2x2_s1_1s_20171111201102_1.fits,20171111,201102,1,65535.0,0.0,97
skyv_2x2_s1_1s_20171111201407_1.fits,20171111,201407,1,65535.0,0.0,142
skyv_2x2_s1_1s_20171111201711_1.fits,20171111,201711,1,65535.0,0.0,209
skyv_2x2_s1_1s_20171111202015_1.fits,20171111,202015,1,65534.9579976,5.49312845883,314
skyv_2x2_s1_1s_20171111202320_1.fits,20171111,202320,1,63394.4515257,4714.19097553,484
skyv_2x2_s1_1s_20171111202624_1.fits,20171111,202624,1,39151.1655922,5663.50573769,796
skyv_2x2_s1_1s_20171111202928_1.fits,20171111,202928,1,20163.8767374,2843.86819367,1376
skyv_2x2_s1_1s_20171111203233_1.fits,20171111,203233,1,10374.5662138,1375.47338723,2548
skyv_2x2_s1_1s_20171111203537_1.fits,20171111,203537,1,5612.0969522,657.66819574,4718
skyv_2x2_s1_1s_20171111203841_1.fits,20171111,203841,1,3312.72405028,309.672857328,9492
skyv_2x2_s1_1s_20171111204146_1.fits,20171111,204146,1,2211.09587717,145.624587745,14266
skyv_2x2_s1_1s_20171111204450_1.fits,20171111,204450,1,1707.10126138,69.3906063829,19040
skyv_2x2_s1_2s_20171111200808_1.fits,20171111,200808,2,65535.0,0.0,63
skyv_2x2_s1_2s_20171111201112_1.fits,20171111,201112,2,65535.0,0.0,97
skyv_2x2_s1_2s_20171111201417_1.fits,20171111,201417,2,65535.0,0.0,142
skyv_2x2_s1_2s_20171111201721_1.fits,20171111,201721,2,65535.0,0.0,209
skyv_2x2_s1_2s_20171111202025_1.fits,20171111,202025,2,65535.0,0.0,314
skyv_2x2_s1_2s_20171111202330_1.fits,20171111,202330,2,65535.0,0.0,484
skyv_2x2_s1_2s_20171111202634_1.fits,20171111,202634,2,63301.209543,4814.6275298,796
skyv_2x2_s1_2s_20171111202938_1.fits,20171111,202938,2,36682.8145471,5221.16123896,1680
skyv_2x2_s1_2s_20171111203243_1.fits,20171111,203243,2,18352.7017715,2536.74091726,3127
skyv_2x2_s1_2s_20171111203547_1.fits,20171111,203547,2,9410.35631275,1213.28077409,5673
skyv_2x2_s1_2s_20171111203851_1.fits,20171111,203851,2,5086.00765824,570.365352779,9492
skyv_2x2_s1_2s_20171111204156_1.fits,20171111,204156,2,3022.85773373,266.528103446,14266
skyv_2x2_s1_2s_20171111204500_1.fits,20171111,204500,2,2078.6366713,123.46595594,19040
skyv_2x2_s1_4s_20171111200819_1.fits,20171111,200819,4,65535.0,0.0,63
skyv_2x2_s1_4s_20171111201123_1.fits,20171111,201123,4,65535.0,0.0,97
skyv_2x2_s1_4s_20171111201428_1.fits,20171111,201428,4,65535.0,0.0,142
skyv_2x2_s1_4s_20171111201732_1.fits,20171111,201732,4,65535.0,0.0,209
skyv_2x2_s1_4s_20171111202036_1.fits,20171111,202036,4,65535.0,0.0,314
skyv_2x2_s1_4s_20171111202341_1.fits,20171111,202341,4,65535.0,0.0,567
skyv_2x2_s1_4s_20171111202645_1.fits,20171111,202645,4,65535.0,0.0,949
skyv_2x2_s1_4s_20171111202949_1.fits,20171111,202949,4,62246.2398543,5967.98716564,1680
skyv_2x2_s1_4s_20171111203254_1.fits,20171111,203254,4,33377.6651855,4710.43312723,3127
skyv_2x2_s1_4s_20171111203558_1.fits,20171111,203558,4,16619.0447347,2267.3839211,5673
skyv_2x2_s1_4s_20171111203902_1.fits,20171111,203902,4,8481.96105886,1071.41463129,9492
skyv_2x2_s1_4s_20171111204207_1.fits,20171111,204207,4,4581.8672781,499.344192351,14266
skyv_2x2_s1_4s_20171111204511_1.fits,20171111,204511,4,2806.84437966,232.443175098,19040
skyv_2x2_s1_6s_20171111200832_1.fits,20171111,200832,6,65535.0,0.0,63
skyv_2x2_s1_6s_20171111201136_1.fits,20171111,201136,6,65535.0,0.0,97
skyv_2x2_s1_6s_20171111201441_1.fits,20171111,201441,6,65535.0,0.0,161
skyv_2x2_s1_6s_20171111201745_1.fits,20171111,201745,6,65535.0,0.0,239
skyv_2x2_s1_6s_20171111202049_1.fits,20171111,202049,6,65535.0,0.0,362
skyv_2x2_s1_6s_20171111202354_1.fits,20171111,202354,6,65535.0,0.0,567
skyv_2x2_s1_6s_20171111202658_1.fits,20171111,202658,6,65535.0,0.0,949
skyv_2x2_s1_6s_20171111203002_1.fits,20171111,203002,6,65362.2466657,1132.95961596,1680
skyv_2x2_s1_6s_20171111203307_1.fits,20171111,203307,6,46408.5369494,6569.6988705,3127
skyv_2x2_s1_6s_20171111203611_1.fits,20171111,203611,6,22915.6050611,3185.60244547,5673
skyv_2x2_s1_6s_20171111203915_1.fits,20171111,203915,6,11429.1502011,1505.51928355,9492
skyv_2x2_s1_6s_20171111204220_1.fits,20171111,204220,6,5945.13554192,702.565292647,14266
skyv_2x2_s1_6s_20171111204524_1.fits,20171111,204524,6,3447.89396691,328.355806846,19040
